epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1_score
1,0.3831357848909153,0.8777837599725906,0.2713587133169174,0.9117,0.9151352838692206,0.9117000000000001,0.9121048059233786
2,0.11689326730139467,0.9624590083696344,0.22510124089717864,0.9236,0.926151770945362,0.9236000000000001,0.9238096855718988
3,0.06428769938772647,0.9793451128187558,0.2835561243534088,0.9132,0.9177184097979529,0.9132,0.9136120597429432
4,0.051443762240340536,0.9827712789388674,0.34757110748291015,0.9026,0.9093501708920847,0.9026,0.9028251534208966
5,0.04539082004519063,0.9853164309138075,0.3142248946428299,0.9147,0.9205665720716005,0.9147000000000001,0.9151957299528112
6,0.028315683213861624,0.9915324751602956,0.28282428975105284,0.9181,0.9202686006951165,0.9180999999999999,0.9183128046385629
7,0.03654995087012164,0.9878615828887475,0.29036906373500826,0.9174,0.9201217474614202,0.9174,0.9171249087185357
8,0.03518182234942992,0.9884489256521952,0.34446978060752154,0.9073,0.9145360699947618,0.9072999999999999,0.9077394443352237
9,0.04310095112942738,0.9855611570652439,0.5237914803028106,0.877,0.8955632635998431,0.877,0.8701072470581185
10,0.023791495542498296,0.9919729822328814,0.3221325290203094,0.9171,0.9207224753497882,0.9170999999999999,0.9170601769798024
11,0.03451025920807163,0.9884489256521952,0.3090552729845047,0.9193,0.9229249309439741,0.9193000000000001,0.9198454486655908
12,0.024632770330868733,0.9911898585482845,0.3382599726200104,0.9171,0.9223491933239385,0.9170999999999999,0.9170220579861352
